,Job tenure,Age,Car price,Default (y)
3464,0,22,24421,1
5736,3,30,15945,0
755,1,26,8900,0
6734,1,48,15990,0
1614,5,49,4450,1
3554,1,21,11987,1
3408,8,32,10000,0
7253,2,40,13980,0
6356,0,25,13900,0
5048,2,21,12790,1
421,2,42,9800,1
44,1,47,16500,0
538,5,27,17877,1
6409,0,22,16000,1
2407,5,56,28485,0
6110,3,38,12990,0
4655,3,19,14560,1
6145,0,47,8850,0
1255,6,26,12000,0
1701,1,52,9990,0
654,16,36,11999,0
319,12,37,9990,0
4384,9,28,22910,0
5064,2,26,10000,1
2652,3,32,13100,1
4608,0,24,6950,1
7384,4,46,9000,1
915,2,50,5700,0
1562,5,51,11149,0
2516,8,50,13485,0
5768,3,43,6887,0
6218,11,41,6390,0
921,2,41,14990,0
1942,0,22,9500,0
7268,2,26,9283,0
4834,1,49,4550,1
6105,1,46,5382,0
741,0,22,4600,1
5231,1,23,14269,1
2883,9,40,11990,0
5244,1,43,19900,1
7322,7,35,30500,0
4309,4,46,16000,0
1580,3,41,5600,0
3018,1,28,15200,0
584,10,31,23367,1
2509,0,27,14110,1
4522,5,26,5550,0
1168,1,27,17069,1
1928,5,29,9500,0
4231,1,31,7290,0
5019,3,22,23700,0
3852,5,23,22559,0
6695,0,57,10990,0
6380,2,41,13290,0
3704,2,32,10490,1
2840,1,27,17048,0
5751,1,30,12500,0
6560,1,22,25040,1
7153,3,51,23100,0
118,3,20,22586,1
6499,2,32,3500,0
4840,0,36,7990,0
5698,3,32,6550,1
6798,5,24,14490,0
3131,2,37,30500,0
809,15,34,10990,0
6758,1,24,8069,0
2177,7,32,19968,1
1181,3,23,15317,1
7226,6,31,5674,0
2526,1,38,12950,1
3593,1,31,24990,1
436,5,46,17900,0
325,7,49,7980,1
5170,4,53,12138,1
5351,0,20,8500,0
108,4,51,7680,0
218,0,22,17890,1
2799,2,22,12500,1
4767,5,43,19999,0
3858,0,39,15490,0
625,2,22,8900,1
2697,1,35,17490,1
3016,3,34,14400,0
6599,0,30,9589,0
6314,8,51,15900,0
3411,5,54,18880,1
6960,6,25,10513,0
4374,0,61,21800,0
6340,0,28,6880,0
2915,6,26,5670,1
2439,7,39,12800,0
5368,1,28,14990,0
6563,1,39,9790,1
3661,2,45,7900,0
1370,1,61,24135,1
5782,4,20,21990,1
156,5,40,20849,0
648,0,20,10990,1
3995,1,55,6990,1
1268,1,25,18500,0
1432,2,47,12110,0
1598,0,19,27250,1
1831,9,41,36159,0
5090,4,47,15920,0
1024,4,26,20990,0
533,8,30,22650,0
7213,3,40,9180,0
7274,1,26,9950,0
748,0,57,12990,1
1127,2,39,21970,1
5333,9,39,9510,0
2333,1,21,4900,0
7212,5,38,8950,0
2132,7,29,17290,0
2798,0,32,9990,0
2226,2,34,15840,0
3248,7,26,22700,0
1073,3,41,12078,1
3641,1,55,18100,0
2927,4,30,22450,0
2436,7,28,11990,0
4192,3,36,5990,0
5480,14,30,20850,0
3491,7,23,13844,0
2825,6,36,29000,1
4011,2,34,8115,1
790,1,29,12950,0
7199,8,35,9900,0
1425,2,38,7500,0
1847,16,35,5800,0
3439,9,35,9300,0
6605,8,27,15899,0
4739,1,31,16220,0
838,15,36,8048,0
6104,2,22,14760,0
7265,7,32,4634,1
1222,10,39,16400,0
6044,5,49,17500,1
196,3,19,7990,0
7183,2,45,12978,1
7060,2,58,19680,0
4707,1,42,9800,0
1212,2,27,30061,0
1718,3,37,19400,0
4507,6,47,12359,0
2277,2,41,15000,0
7301,2,52,16700,0
3907,2,26,10700,0
3098,7,54,18760,0
4828,4,31,13000,0
5839,1,32,12234,0
1659,12,41,21300,0
5842,3,45,12901,0
6923,2,41,7990,1
500,1,56,7950,1
5224,2,45,14697,0
3536,4,54,12173,0
2404,0,19,10669,1
2688,5,31,16190,0
287,12,34,17500,0
6460,3,50,7900,0
4296,0,24,15700,0
2955,5,28,10500,1
3063,4,37,5400,0
3237,1,64,26500,0
2841,0,64,20990,1
6662,2,58,11490,0
6116,2,29,22850,1
2892,4,31,12790,1
2540,2,45,6250,0
721,1,41,15860,0
862,0,18,19898,1
2552,10,49,23448,0
5466,4,33,4600,0
